epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9325,1.28277,2.03213,1.52495,0.62886,0.38679,0.4763,0.25658,2.14996,2.19694,2.21843,0.000543038,0.000543038,0.000543038
2,20.318,1.19785,1.35467,1.43062,0.70293,0.5566,0.66325,0.3762,1.49747,1.5738,1.88805,0.00108783,0.00108783,0.00108783
3,29.7304,1.22989,1.26068,1.42691,0.61231,0.40566,0.44441,0.21495,2.4622,1.88789,2.52529,0.00162161,0.00162161,0.00162161
4,39.0223,1.21156,1.18789,1.42901,0.68888,0.54309,0.58791,0.32074,1.60432,1.58176,1.94575,0.00161749,0.00161749,0.00161749
5,48.2078,1.1649,1.1066,1.39197,0.73563,0.68251,0.73207,0.4268,1.52197,1.34746,1.76821,0.00160099,0.00160099,0.00160099
6,57.4673,1.14812,1.00439,1.37599,0.67324,0.62847,0.64658,0.35093,1.63501,1.63507,1.87561,0.00158448,0.00158448,0.00158448
7,66.7473,1.11419,0.9747,1.35388,0.77681,0.65409,0.73357,0.41768,1.48912,1.19413,1.6879,0.00156798,0.00156798,0.00156798
8,76.0698,1.11154,0.94505,1.33653,0.76032,0.7673,0.77091,0.45845,1.28419,1.23429,1.57918,0.00155148,0.00155148,0.00155148
9,85.3738,1.07997,0.88621,1.31543,0.85025,0.79874,0.83986,0.5818,1.17373,0.99266,1.43009,0.00153497,0.00153497,0.00153497
10,94.6177,1.04815,0.88351,1.32039,0.81552,0.68239,0.77937,0.50463,1.22671,1.00989,1.4862,0.00151847,0.00151847,0.00151847
11,103.867,1.02764,0.84551,1.28388,0.8394,0.7673,0.82593,0.55944,1.10857,0.92956,1.41367,0.00150197,0.00150197,0.00150197
12,113.131,1.05251,0.86118,1.30066,0.84853,0.75751,0.84574,0.55807,1.22908,0.94837,1.49233,0.00148546,0.00148546,0.00148546
13,122.38,1.01498,0.82815,1.28023,0.85613,0.86078,0.85659,0.59858,1.07097,0.71826,1.39633,0.00146896,0.00146896,0.00146896
14,131.614,0.98591,0.7941,1.25823,0.85077,0.79245,0.82894,0.54375,1.23213,0.81433,1.43243,0.00145246,0.00145246,0.00145246
15,140.846,0.96875,0.77139,1.24396,0.88527,0.83333,0.86028,0.61381,1.04733,0.7467,1.33773,0.00143595,0.00143595,0.00143595
16,150.101,0.96479,0.75816,1.24068,0.80823,0.75545,0.82108,0.55667,1.15561,0.88264,1.44953,0.00141945,0.00141945,0.00141945
17,159.349,0.94215,0.73521,1.22411,0.87686,0.80503,0.85687,0.62185,1.04107,0.71371,1.34416,0.00140295,0.00140295,0.00140295
18,168.588,0.93335,0.73548,1.219,0.82759,0.83019,0.84076,0.57585,1.10839,0.74491,1.3992,0.00138644,0.00138644,0.00138644
19,177.843,0.92839,0.72286,1.22414,0.86573,0.77045,0.84533,0.53868,1.23169,0.83524,1.44454,0.00136994,0.00136994,0.00136994
20,187.097,0.90816,0.70803,1.20337,0.89511,0.81447,0.84562,0.60309,1.01083,0.78608,1.31596,0.00135344,0.00135344,0.00135344
21,196.307,0.90499,0.70101,1.20735,0.91076,0.7702,0.87656,0.64104,0.99231,0.68885,1.25841,0.00133693,0.00133693,0.00133693
22,205.563,0.88248,0.6653,1.19463,0.89843,0.80666,0.89422,0.63765,1.00919,0.70614,1.26049,0.00132043,0.00132043,0.00132043
23,214.808,0.87583,0.65064,1.18015,0.86289,0.7916,0.8418,0.56765,1.20983,0.80274,1.41401,0.00130393,0.00130393,0.00130393
24,224.049,0.88167,0.67027,1.18964,0.8865,0.81056,0.86734,0.63836,0.97357,0.6786,1.2533,0.00128742,0.00128742,0.00128742
25,233.27,0.87154,0.66631,1.19115,0.91348,0.74528,0.86679,0.62315,1.05439,0.66805,1.41519,0.00127092,0.00127092,0.00127092
26,242.497,0.8585,0.63363,1.17601,0.90855,0.81225,0.89297,0.64915,1.00954,0.63731,1.36691,0.00125442,0.00125442,0.00125442
27,251.812,0.85733,0.64205,1.17098,0.89504,0.80818,0.87899,0.64181,0.95732,0.70444,1.27908,0.00123791,0.00123791,0.00123791
28,261.062,0.85176,0.63186,1.16949,0.93069,0.74843,0.86867,0.55654,1.31621,0.83233,1.4602,0.00122141,0.00122141,0.00122141
29,270.307,0.84387,0.62999,1.16444,0.77649,0.78616,0.83978,0.58688,1.03097,0.88254,1.2918,0.00120491,0.00120491,0.00120491
30,279.504,0.82345,0.60561,1.15876,0.87045,0.80289,0.85508,0.61961,1.00961,0.71962,1.29811,0.0011884,0.0011884,0.0011884
31,288.695,0.81578,0.60202,1.15548,0.93935,0.80818,0.8887,0.65837,0.95471,0.68159,1.23756,0.0011719,0.0011719,0.0011719
32,297.907,0.79883,0.57291,1.13467,0.89181,0.85535,0.90478,0.6797,0.9082,0.56962,1.19966,0.0011554,0.0011554,0.0011554
33,307.122,0.80593,0.59217,1.14587,0.84437,0.81897,0.87177,0.64946,1.03081,0.76123,1.28523,0.00113889,0.00113889,0.00113889
34,316.324,0.81377,0.58842,1.14837,0.85661,0.74843,0.8348,0.61417,0.91077,0.71685,1.22664,0.00112239,0.00112239,0.00112239
35,325.574,0.80292,0.58705,1.14293,0.91479,0.77673,0.86078,0.61275,1.02862,0.77585,1.32419,0.00110589,0.00110589,0.00110589
36,334.815,0.79468,0.57564,1.13963,0.84305,0.81077,0.86848,0.64889,0.94367,0.80698,1.24109,0.00108938,0.00108938,0.00108938
37,344.017,0.77479,0.55646,1.12885,0.89158,0.84277,0.90133,0.63196,1.11743,0.68913,1.35879,0.00107288,0.00107288,0.00107288
38,353.246,0.79441,0.56531,1.13068,0.88719,0.81132,0.88012,0.65588,0.97702,0.66757,1.24786,0.00105638,0.00105638,0.00105638
39,362.488,0.79449,0.57518,1.14192,0.94285,0.83003,0.91484,0.68948,0.9344,0.58694,1.22207,0.00103987,0.00103987,0.00103987
40,371.766,0.77863,0.55952,1.12431,0.88993,0.83648,0.89111,0.66863,0.90647,0.68123,1.1917,0.00102337,0.00102337,0.00102337
