epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0412,0.99744,1.59583,1.07342,0.68781,0.89299,0.77073,0.59606,0.932,0.99573,0.94393,0.000327586,0.000327586,0.067569
2,42.5391,0.82429,0.54978,0.95944,0.95426,0.9764,0.98628,0.82498,0.67018,0.43151,0.87171,0.000660848,0.000660848,0.0345689
3,62.2159,0.82975,0.53224,0.96332,0.91215,0.92004,0.97147,0.7802,0.79271,0.57934,0.90499,0.000993821,0.000993821,0.00156853
4,83.8204,0.81984,0.52171,0.95785,0.95893,0.97482,0.98646,0.77541,0.769,0.62707,0.91028,0.000999023,0.000999023,0.000999023
5,105.416,0.7743,0.48257,0.93849,0.97403,0.94921,0.97135,0.76165,0.80956,0.52166,0.90902,0.000998264,0.000998264,0.000998264
6,127.288,0.76949,0.48577,0.93907,0.98517,0.98609,0.98805,0.8031,0.789,0.40695,0.89406,0.000997288,0.000997288,0.000997288
7,149.341,0.74374,0.45134,0.92527,0.99281,0.97747,0.98984,0.80144,0.7186,0.38641,0.88681,0.000996097,0.000996097,0.000996097
8,172.22,0.73131,0.43454,0.91754,0.96671,0.95253,0.98594,0.80514,0.72112,0.56185,0.87806,0.00099469,0.00099469,0.00099469
9,194.004,0.75259,0.45087,0.93209,0.99056,0.98556,0.98976,0.81167,0.75352,0.37871,0.88471,0.000993068,0.000993068,0.000993068
10,215.758,0.74069,0.43617,0.92697,0.98857,0.97747,0.9868,0.82019,0.75708,0.36024,0.89123,0.000991232,0.000991232,0.000991232
11,237.794,0.71723,0.43901,0.91757,0.99119,0.98573,0.98995,0.81088,0.73501,0.41027,0.8826,0.000989183,0.000989183,0.000989183
12,259.637,0.71444,0.43233,0.91536,0.98908,0.98591,0.99041,0.83301,0.72625,0.34868,0.88009,0.000986922,0.000986922,0.000986922
13,281.505,0.70572,0.42577,0.9245,0.99531,0.97464,0.99004,0.82184,0.75559,0.36047,0.87703,0.000984449,0.000984449,0.000984449
14,303.548,0.70112,0.42203,0.90865,0.99501,0.98771,0.99052,0.82785,0.7082,0.36477,0.86871,0.000981765,0.000981765,0.000981765
15,325.881,0.71426,0.42642,0.91482,0.99236,0.97747,0.9908,0.86155,0.6373,0.32286,0.85566,0.000978873,0.000978873,0.000978873
16,348.537,0.68542,0.40952,0.90467,0.97501,0.9891,0.98973,0.82153,0.6746,0.34223,0.87135,0.000975773,0.000975773,0.000975773
17,370.544,0.69769,0.41345,0.91233,0.97954,0.98873,0.99018,0.84166,0.64214,0.31409,0.86973,0.000972466,0.000972466,0.000972466
18,392.232,0.70452,0.41365,0.91362,0.99128,0.98059,0.99005,0.81194,0.78036,0.37994,0.89011,0.000968955,0.000968955,0.000968955
19,413.995,0.68592,0.42037,0.91227,0.99124,0.97894,0.98979,0.81018,0.70562,0.34105,0.86679,0.000965239,0.000965239,0.000965239
20,435.69,0.70765,0.42026,0.9164,0.97882,0.943,0.97294,0.82235,0.61423,0.41094,0.86067,0.000961322,0.000961322,0.000961322
21,457.66,0.68507,0.3955,0.90004,0.98883,0.98609,0.9898,0.8212,0.69124,0.34546,0.87195,0.000957205,0.000957205,0.000957205
22,479.233,0.67285,0.39692,0.90513,0.99058,0.9879,0.98981,0.8551,0.57015,0.34481,0.8564,0.000952889,0.000952889,0.000952889
23,502.354,0.64903,0.38695,0.90234,0.97798,0.97593,0.97788,0.88113,0.48264,0.31308,0.84083,0.000948377,0.000948377,0.000948377
24,524.379,0.64716,0.38095,0.89494,0.99931,0.98873,0.99054,0.80126,0.77781,0.33827,0.88731,0.000943671,0.000943671,0.000943671
25,546.192,0.62377,0.37933,0.89055,0.99776,0.99138,0.99089,0.88261,0.50255,0.29669,0.84404,0.000938772,0.000938772,0.000938772
