epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9547,0.99506,1.21858,1.10164,0.97727,0.97747,0.98063,0.7464,0.81606,0.47175,0.92049,0.000330435,0.000330435,0.067287
2,60.9148,0.84884,0.59879,0.97979,0.97034,0.94555,0.98222,0.8079,0.68368,0.49675,0.88506,0.000663696,0.000663696,0.0342869
3,86.8385,0.80814,0.5511,0.96124,0.98953,0.98761,0.98994,0.76256,0.92818,0.53017,0.93542,0.000996669,0.000996669,0.00128652
4,112.799,0.78739,0.50256,0.9509,0.98397,0.98873,0.98588,0.78043,0.75491,0.41078,0.89973,0.000999023,0.000999023,0.000999023
5,136.911,0.79102,0.50979,0.94993,0.99573,0.98252,0.99003,0.73475,0.96115,0.45346,0.94524,0.000998264,0.000998264,0.000998264
6,162.185,0.78671,0.48446,0.95564,0.97746,0.97747,0.98546,0.80263,0.79322,0.39261,0.88683,0.000997288,0.000997288,0.000997288
7,187.766,0.75119,0.466,0.93595,0.99135,0.98358,0.9846,0.8099,0.74904,0.35573,0.88995,0.000996097,0.000996097,0.000996097
8,213.437,0.75773,0.48119,0.94317,0.98875,0.98664,0.98769,0.78323,0.79481,0.39837,0.89586,0.00099469,0.00099469,0.00099469
9,238.979,0.74938,0.45977,0.93381,0.96369,0.98138,0.98944,0.82156,0.72528,0.38845,0.88375,0.000993068,0.000993068,0.000993068
10,264.619,0.72834,0.45158,0.92168,0.95546,0.98779,0.98788,0.77945,0.78494,0.38777,0.88602,0.000991232,0.000991232,0.000991232
11,289.689,0.72847,0.44173,0.92893,0.97996,0.97727,0.988,0.81817,0.75909,0.35,0.88665,0.000989183,0.000989183,0.000989183
12,313.787,0.72746,0.44971,0.92571,0.98855,0.97826,0.98921,0.83371,0.68664,0.35564,0.87077,0.000986922,0.000986922,0.000986922
13,339.547,0.70858,0.42838,0.91886,0.98149,0.98827,0.98799,0.80904,0.73229,0.3553,0.87569,0.000984449,0.000984449,0.000984449
14,365.212,0.70882,0.42417,0.91561,0.98134,0.97858,0.98557,0.76747,0.85254,0.37744,0.89968,0.000981765,0.000981765,0.000981765
15,390.83,0.69363,0.42729,0.90993,0.98939,0.99138,0.99056,0.79273,0.8116,0.39402,0.88702,0.000978873,0.000978873,0.000978873
16,416.632,0.70616,0.42673,0.91556,0.98577,0.98842,0.99001,0.79602,0.79022,0.36289,0.89581,0.000975773,0.000975773,0.000975773
17,442.095,0.69605,0.41495,0.91165,0.98893,0.99114,0.9899,0.7733,0.86628,0.37208,0.9155,0.000972466,0.000972466,0.000972466
18,466.79,0.71352,0.42326,0.92559,0.99006,0.99054,0.98987,0.83215,0.66751,0.31612,0.86228,0.000968955,0.000968955,0.000968955
19,491.715,0.71165,0.42351,0.92185,0.9992,0.98803,0.99075,0.80585,0.80679,0.35063,0.89173,0.000965239,0.000965239,0.000965239
20,517.468,0.70217,0.42313,0.91329,0.98969,0.99138,0.99035,0.81166,0.80269,0.35252,0.89212,0.000961322,0.000961322,0.000961322
21,543.015,0.67757,0.39591,0.89925,0.99542,0.99107,0.99046,0.79529,0.74861,0.35368,0.88009,0.000957205,0.000957205,0.000957205
22,568.28,0.67235,0.39347,0.90386,0.99681,0.98964,0.99132,0.84931,0.63647,0.31227,0.86389,0.000952889,0.000952889,0.000952889
23,593.898,0.67566,0.39622,0.90184,0.99783,0.98873,0.99041,0.83244,0.73033,0.33952,0.88526,0.000948377,0.000948377,0.000948377
24,619.107,0.68253,0.39255,0.90177,0.99754,0.98805,0.99047,0.82817,0.72902,0.32751,0.87159,0.000943671,0.000943671,0.000943671
25,643.806,0.66088,0.3992,0.90204,0.99572,0.98873,0.99053,0.83494,0.66886,0.33012,0.86966,0.000938772,0.000938772,0.000938772
26,669.424,0.67185,0.38487,0.90498,0.99811,0.99001,0.9909,0.82547,0.69655,0.31757,0.86751,0.000933683,0.000933683,0.000933683
27,695.146,0.65305,0.37173,0.9033,0.99603,0.98925,0.99105,0.77355,0.8914,0.36221,0.90665,0.000928405,0.000928405,0.000928405
28,720.473,0.67295,0.38863,0.90665,0.99039,0.98275,0.98569,0.88165,0.5529,0.29008,0.84642,0.000922942,0.000922942,0.000922942
29,746.256,0.67268,0.39063,0.90472,1,0.98946,0.99066,0.84628,0.68721,0.32994,0.86799,0.000917296,0.000917296,0.000917296
30,771.883,0.64256,0.36445,0.89353,0.98952,0.98767,0.99149,0.82458,0.7383,0.34156,0.87384,0.000911469,0.000911469,0.000911469
31,796.934,0.6543,0.37984,0.9044,0.99868,0.99138,0.99092,0.83229,0.66349,0.32126,0.86149,0.000905463,0.000905463,0.000905463
32,822.595,0.65732,0.37739,0.90109,0.99131,0.99053,0.9915,0.83227,0.75258,0.33744,0.87144,0.000899282,0.000899282,0.000899282
33,848.23,0.63662,0.36338,0.89053,0.98932,0.99138,0.99151,0.78801,0.87227,0.35725,0.89661,0.000892928,0.000892928,0.000892928
34,873.891,0.63453,0.3706,0.89276,0.98961,0.98873,0.99067,0.82231,0.72585,0.31989,0.8723,0.000886404,0.000886404,0.000886404
35,899.724,0.63646,0.37004,0.89341,0.9902,0.98691,0.99037,0.85741,0.5958,0.28262,0.84984,0.000879713,0.000879713,0.000879713
36,925.51,0.63771,0.37378,0.89325,0.9944,0.98661,0.99079,0.85154,0.65111,0.29627,0.85732,0.000872857,0.000872857,0.000872857
37,950.065,0.63149,0.36163,0.8914,0.99823,0.99138,0.9915,0.83139,0.73346,0.3284,0.87528,0.000865839,0.000865839,0.000865839
38,975.645,0.64533,0.367,0.89221,0.99818,0.99016,0.99144,0.8058,0.78581,0.32677,0.88128,0.000858664,0.000858664,0.000858664
39,1001.41,0.62948,0.36326,0.8885,0.98799,0.98847,0.98981,0.84241,0.6567,0.31223,0.85888,0.000851333,0.000851333,0.000851333
40,1026.95,0.63295,0.36823,0.89149,0.99878,0.99138,0.99118,0.81211,0.82438,0.33259,0.89563,0.000843851,0.000843851,0.000843851
41,1052.65,0.61842,0.35044,0.88437,0.98756,0.99138,0.99073,0.82999,0.6863,0.29988,0.86359,0.00083622,0.00083622,0.00083622
42,1078.24,0.61668,0.34543,0.88754,0.99675,0.99138,0.99075,0.83428,0.73802,0.30509,0.87108,0.000828443,0.000828443,0.000828443
43,1102.98,0.60877,0.34778,0.88879,0.9977,0.99138,0.99192,0.81953,0.75578,0.3408,0.88405,0.000820525,0.000820525,0.000820525
44,1127.22,0.62569,0.36066,0.88541,0.99686,0.99077,0.99117,0.81652,0.76087,0.31261,0.87563,0.000812468,0.000812468,0.000812468
45,1152.62,0.60731,0.34496,0.88254,0.99047,0.98918,0.98936,0.79617,0.86659,0.35566,0.90473,0.000804277,0.000804277,0.000804277
46,1178.13,0.6136,0.3539,0.87973,0.99879,0.99138,0.99083,0.78379,0.87503,0.34506,0.89817,0.000795954,0.000795954,0.000795954
47,1203.88,0.62963,0.35058,0.88248,0.99105,0.98126,0.98562,0.85897,0.58368,0.2847,0.85157,0.000787503,0.000787503,0.000787503
48,1229.48,0.61703,0.34716,0.88617,0.99701,0.98906,0.9915,0.80708,0.80553,0.31643,0.88039,0.000778929,0.000778929,0.000778929
49,1255.18,0.61473,0.33863,0.88674,0.99727,0.98951,0.99089,0.82697,0.71906,0.31524,0.86606,0.000770234,0.000770234,0.000770234
50,1279.6,0.60066,0.33471,0.87586,0.99908,0.98863,0.99116,0.83562,0.68647,0.2913,0.86105,0.000761423,0.000761423,0.000761423
51,1304.77,0.60736,0.33263,0.87993,0.99061,0.99138,0.99039,0.82356,0.73762,0.31072,0.86573,0.0007525,0.0007525,0.0007525
52,1330.19,0.61254,0.34957,0.88111,0.98762,0.98276,0.99021,0.85073,0.6269,0.27781,0.84695,0.000743468,0.000743468,0.000743468
53,1355.89,0.59366,0.33769,0.88117,0.99512,0.97932,0.98899,0.81539,0.74619,0.30821,0.87145,0.000734332,0.000734332,0.000734332
54,1381.86,0.59986,0.32672,0.87591,0.99769,0.99138,0.99089,0.85143,0.62956,0.28864,0.85246,0.000725094,0.000725094,0.000725094
55,1407.57,0.60282,0.33271,0.87948,0.99732,0.99138,0.99125,0.85048,0.65152,0.27917,0.85043,0.000715761,0.000715761,0.000715761
56,1432.41,0.58822,0.33106,0.87484,0.99861,0.99138,0.99088,0.8484,0.65684,0.28751,0.85643,0.000706335,0.000706335,0.000706335
57,1457.24,0.59304,0.33186,0.87524,0.99772,0.99138,0.99106,0.82042,0.7383,0.30768,0.87245,0.00069682,0.00069682,0.00069682
58,1483.05,0.58214,0.32768,0.87235,0.99764,0.99138,0.99091,0.83746,0.66711,0.28814,0.85762,0.000687222,0.000687222,0.000687222
