epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2155,0.86573,1.50231,0.99913,0.97184,0.97533,0.98085,0.77787,0.76348,0.5897,0.88697,0.000327586,0.000327586,0.067569
2,32.9218,0.72454,0.44046,0.90238,0.97426,0.97646,0.98955,0.76905,0.85572,0.54481,0.92256,0.000660848,0.000660848,0.0345689
3,44.6132,0.72734,0.43966,0.902,0.98115,0.97747,0.98351,0.77493,0.82639,0.44477,0.91101,0.000993821,0.000993821,0.00156853
4,56.3654,0.69042,0.40661,0.88819,0.981,0.97582,0.98003,0.74575,0.97809,0.48155,0.93806,0.000999023,0.000999023,0.000999023
5,68.0459,0.69199,0.40407,0.88737,0.98481,0.98609,0.98598,0.76286,0.8721,0.43391,0.90894,0.000998264,0.000998264,0.000998264
6,79.7853,0.68125,0.39732,0.88346,0.97649,0.9806,0.98819,0.81653,0.71228,0.44369,0.8902,0.000997288,0.000997288,0.000997288
7,91.5741,0.67782,0.38542,0.88516,0.96938,0.97797,0.98497,0.78395,0.85432,0.37855,0.89593,0.000996097,0.000996097,0.000996097
8,103.252,0.63561,0.36855,0.86449,0.98708,0.97747,0.9888,0.82575,0.73202,0.35979,0.87454,0.00099469,0.00099469,0.00099469
9,115.031,0.64757,0.38242,0.8753,0.98552,0.98704,0.99017,0.82155,0.72149,0.38097,0.86552,0.000993068,0.000993068,0.000993068
10,126.728,0.65069,0.37039,0.87581,0.99095,0.98873,0.99107,0.8052,0.67568,0.34847,0.86843,0.000991232,0.000991232,0.000991232
11,138.438,0.63966,0.36618,0.872,0.98032,0.98609,0.9833,0.75074,0.90348,0.47313,0.91229,0.000989183,0.000989183,0.000989183
12,150.191,0.65846,0.36369,0.86585,0.99875,0.98873,0.99061,0.77969,0.81924,0.36406,0.9015,0.000986922,0.000986922,0.000986922
13,161.88,0.65099,0.36768,0.87076,0.98616,0.99138,0.99119,0.85384,0.63776,0.31858,0.86071,0.000984449,0.000984449,0.000984449
14,173.729,0.62827,0.33894,0.86015,0.99048,0.98813,0.98965,0.80813,0.79065,0.37559,0.88541,0.000981765,0.000981765,0.000981765
15,185.437,0.61801,0.35403,0.86886,0.98759,0.98609,0.98967,0.81588,0.72609,0.36003,0.88801,0.000978873,0.000978873,0.000978873
16,197.297,0.63245,0.34945,0.8645,0.98596,0.97812,0.98774,0.87462,0.52601,0.30528,0.84352,0.000975773,0.000975773,0.000975773
17,209.148,0.62155,0.33807,0.86515,0.9804,0.98609,0.98818,0.82046,0.72461,0.36042,0.8739,0.000972466,0.000972466,0.000972466
18,221.062,0.60659,0.33344,0.85632,0.99113,0.9843,0.99056,0.81469,0.70167,0.33108,0.86791,0.000968955,0.000968955,0.000968955
19,233.057,0.59463,0.32598,0.8538,0.99134,0.98295,0.98977,0.83993,0.6467,0.32457,0.85754,0.000965239,0.000965239,0.000965239
20,245.059,0.60633,0.34207,0.86057,0.99093,0.99063,0.99066,0.80413,0.77916,0.36159,0.88291,0.000961322,0.000961322,0.000961322
21,257.024,0.60983,0.33316,0.86073,0.98875,0.98873,0.9909,0.79998,0.76654,0.31703,0.87647,0.000957205,0.000957205,0.000957205
22,268.849,0.59683,0.32373,0.85798,0.99565,0.98873,0.99156,0.83283,0.70637,0.32723,0.86872,0.000952889,0.000952889,0.000952889
23,280.595,0.58324,0.31965,0.85088,0.99057,0.98694,0.98997,0.82253,0.75106,0.3324,0.88047,0.000948377,0.000948377,0.000948377
24,292.328,0.58508,0.32412,0.85101,0.99736,0.99014,0.99047,0.82615,0.74462,0.32611,0.87202,0.000943671,0.000943671,0.000943671
25,304.063,0.57177,0.3154,0.85675,0.98592,0.98583,0.99059,0.79629,0.80277,0.34288,0.88646,0.000938772,0.000938772,0.000938772
26,315.786,0.57736,0.31385,0.85918,0.98121,0.98609,0.98815,0.7971,0.80302,0.34068,0.89988,0.000933683,0.000933683,0.000933683
27,327.535,0.5836,0.3103,0.85156,0.99572,0.98891,0.99089,0.79636,0.79342,0.31955,0.8792,0.000928405,0.000928405,0.000928405
28,339.256,0.57114,0.31373,0.84944,0.99634,0.98417,0.99085,0.79841,0.78669,0.37208,0.88472,0.000922942,0.000922942,0.000922942
29,350.955,0.5721,0.31166,0.85714,0.98093,0.98873,0.98345,0.79689,0.77564,0.35151,0.87594,0.000917296,0.000917296,0.000917296
30,362.652,0.56161,0.3098,0.85297,0.98603,0.98628,0.98268,0.81218,0.69818,0.3157,0.86363,0.000911469,0.000911469,0.000911469
31,374.341,0.5776,0.30184,0.84596,0.9859,0.98817,0.99077,0.79827,0.75888,0.32911,0.87328,0.000905463,0.000905463,0.000905463
32,386.047,0.56668,0.30348,0.84809,0.94943,0.97747,0.98752,0.81076,0.80267,0.35412,0.90029,0.000899282,0.000899282,0.000899282
33,397.766,0.53847,0.3019,0.84276,0.99833,0.98873,0.99153,0.84993,0.65541,0.3015,0.85165,0.000892928,0.000892928,0.000892928
34,409.514,0.53598,0.29715,0.84288,0.98963,0.98827,0.98339,0.7888,0.7953,0.35548,0.88038,0.000886404,0.000886404,0.000886404
35,421.206,0.54104,0.29979,0.84865,0.98464,0.98561,0.98917,0.84956,0.64435,0.3171,0.8575,0.000879713,0.000879713,0.000879713
36,432.937,0.55244,0.30769,0.8449,0.99748,0.98943,0.99101,0.82009,0.75215,0.32972,0.87936,0.000872857,0.000872857,0.000872857
37,444.613,0.57349,0.31712,0.86138,0.99935,0.99138,0.9917,0.81742,0.75901,0.33891,0.88014,0.000865839,0.000865839,0.000865839
38,456.409,0.54129,0.29734,0.84157,0.9953,0.98011,0.99076,0.84909,0.64266,0.28592,0.84671,0.000858664,0.000858664,0.000858664
39,468.087,0.54636,0.29841,0.84526,0.99037,0.98829,0.98881,0.89999,0.43712,0.2662,0.83552,0.000851333,0.000851333,0.000851333
40,479.893,0.52065,0.29094,0.83479,0.98742,0.98539,0.98905,0.86779,0.5901,0.28373,0.85169,0.000843851,0.000843851,0.000843851
41,491.616,0.52277,0.28653,0.83873,0.9995,0.98684,0.99165,0.876,0.59031,0.27695,0.84999,0.00083622,0.00083622,0.00083622
42,503.29,0.49731,0.28923,0.84242,0.99924,0.98954,0.9916,0.91678,0.45671,0.26276,0.82955,0.000828443,0.000828443,0.000828443
43,515.074,0.48153,0.27007,0.83634,0.98451,0.98708,0.99145,0.89307,0.51259,0.27541,0.83292,0.000820525,0.000820525,0.000820525
44,526.773,0.47517,0.27032,0.82357,0.97733,0.97747,0.98586,0.87295,0.52206,0.28185,0.83435,0.000812468,0.000812468,0.000812468
45,538.496,0.46698,0.27849,0.83452,0.99319,0.98999,0.99212,0.92388,0.39829,0.24152,0.82622,0.000804277,0.000804277,0.000804277
46,550.31,0.45861,0.26056,0.82942,0.99895,0.99077,0.9922,0.8803,0.5621,0.27082,0.83607,0.000795954,0.000795954,0.000795954
47,562.015,0.44285,0.25492,0.82645,0.99859,0.99086,0.99215,0.9202,0.40485,0.23005,0.82642,0.000787503,0.000787503,0.000787503
48,573.713,0.43704,0.25371,0.82876,0.9985,0.98743,0.99215,0.91925,0.42468,0.24776,0.82129,0.000778929,0.000778929,0.000778929
49,585.467,0.43255,0.25695,0.82895,0.99873,0.98873,0.99212,0.91205,0.45043,0.2488,0.82861,0.000770234,0.000770234,0.000770234
50,597.182,0.43704,0.25783,0.82539,0.99804,0.98873,0.99115,0.90008,0.44807,0.23862,0.83145,0.000761423,0.000761423,0.000761423
51,608.855,0.44012,0.2542,0.82071,0.9993,0.98977,0.99212,0.93115,0.39103,0.2367,0.82205,0.0007525,0.0007525,0.0007525
52,620.622,0.42446,0.25304,0.82592,0.9898,0.98873,0.99226,0.90674,0.44564,0.22845,0.82869,0.000743468,0.000743468,0.000743468
53,632.333,0.41932,0.24431,0.82394,0.99066,0.98803,0.98985,0.89233,0.47022,0.25291,0.83224,0.000734332,0.000734332,0.000734332
54,644.04,0.41917,0.2478,0.81881,0.99007,0.98873,0.99196,0.90086,0.48884,0.265,0.83116,0.000725094,0.000725094,0.000725094
55,655.746,0.42124,0.24733,0.82552,0.9985,0.98711,0.99167,0.91618,0.40338,0.22196,0.82722,0.000715761,0.000715761,0.000715761
56,667.514,0.40661,0.24445,0.81421,0.99031,0.98556,0.98748,0.90843,0.38239,0.24172,0.82696,0.000706335,0.000706335,0.000706335
57,679.236,0.40159,0.24589,0.82435,0.99928,0.98822,0.99176,0.93227,0.38531,0.22923,0.82554,0.00069682,0.00069682,0.00069682
58,691.026,0.41354,0.24986,0.82369,0.98784,0.9881,0.9893,0.90727,0.45863,0.25349,0.83171,0.000687222,0.000687222,0.000687222
59,702.759,0.39421,0.24016,0.81777,0.99008,0.98609,0.99169,0.91086,0.43643,0.23967,0.8278,0.000677543,0.000677543,0.000677543
60,714.444,0.40344,0.23377,0.81863,0.98225,0.98609,0.98755,0.93251,0.36908,0.23877,0.81883,0.000667789,0.000667789,0.000667789
61,726.213,0.41096,0.24034,0.81484,0.99631,0.98651,0.99202,0.91849,0.42086,0.21977,0.81905,0.000657963,0.000657963,0.000657963
62,737.899,0.39431,0.23437,0.81683,0.99763,0.98873,0.99188,0.94175,0.36545,0.20333,0.81895,0.000648071,0.000648071,0.000648071
63,749.68,0.39536,0.23141,0.81837,0.98986,0.98873,0.98988,0.9006,0.45568,0.23003,0.82872,0.000638115,0.000638115,0.000638115
64,761.399,0.38938,0.23014,0.8149,0.99839,0.99029,0.99254,0.93347,0.37708,0.22256,0.82,0.000628101,0.000628101,0.000628101
65,773.081,0.37824,0.22192,0.81205,0.98976,0.98609,0.99231,0.91817,0.42331,0.2299,0.82459,0.000618034,0.000618034,0.000618034
66,784.773,0.39647,0.2332,0.82152,0.98985,0.98953,0.99226,0.94396,0.36796,0.20861,0.81279,0.000607916,0.000607916,0.000607916
67,796.538,0.38392,0.2324,0.81647,0.99926,0.9891,0.9923,0.93232,0.3884,0.20692,0.82023,0.000597754,0.000597754,0.000597754
68,808.235,0.36732,0.22009,0.811,0.99544,0.99087,0.99138,0.92388,0.38804,0.213,0.82399,0.000587551,0.000587551,0.000587551
69,819.93,0.36639,0.22179,0.80905,0.99829,0.99138,0.99218,0.93695,0.35332,0.20664,0.81022,0.000577311,0.000577311,0.000577311
70,831.633,0.36889,0.22118,0.81037,0.99694,0.99138,0.99202,0.93082,0.35135,0.21772,0.81087,0.00056704,0.00056704,0.00056704
71,843.391,0.38423,0.23273,0.81767,0.99714,0.98668,0.99209,0.92691,0.40378,0.20788,0.81786,0.000556742,0.000556742,0.000556742
72,855.128,0.37062,0.22708,0.81396,0.99236,0.98873,0.99212,0.92494,0.40142,0.19992,0.81955,0.000546421,0.000546421,0.000546421
73,866.857,0.38272,0.23268,0.81816,0.98858,0.99138,0.9919,0.92969,0.3904,0.19869,0.81804,0.000536081,0.000536081,0.000536081
74,878.565,0.37707,0.22859,0.8146,0.99493,0.98972,0.99204,0.9499,0.33984,0.1883,0.81453,0.000525728,0.000525728,0.000525728
75,890.325,0.36675,0.21767,0.81224,0.9989,0.99018,0.99212,0.93864,0.33759,0.19345,0.81532,0.000515366,0.000515366,0.000515366
76,902.082,0.35888,0.21778,0.79931,0.99892,0.99019,0.99197,0.92663,0.38671,0.20258,0.81661,0.000505,0.000505,0.000505
77,913.753,0.36262,0.21684,0.80966,0.99938,0.98241,0.99062,0.94322,0.32891,0.20053,0.81161,0.000494634,0.000494634,0.000494634
78,925.477,0.35603,0.21591,0.80502,0.99733,0.99057,0.99162,0.94851,0.33924,0.20818,0.81469,0.000484272,0.000484272,0.000484272
79,937.164,0.35014,0.21402,0.8083,0.99736,0.99,0.99169,0.9508,0.32817,0.20492,0.81079,0.000473919,0.000473919,0.000473919
80,948.938,0.35603,0.21765,0.80769,0.98848,0.99036,0.99155,0.94622,0.33507,0.19941,0.81129,0.000463579,0.000463579,0.000463579
81,960.651,0.34352,0.21022,0.80456,0.99844,0.98928,0.99212,0.93159,0.36884,0.19215,0.8159,0.000453258,0.000453258,0.000453258
82,972.36,0.34692,0.21128,0.80817,0.99716,0.98492,0.9914,0.94002,0.33158,0.21651,0.81314,0.00044296,0.00044296,0.00044296
