STT,Thoi_gian_chenh_lech_ms,Ket_qua
1,6974.9,Đạt
2,17.7,Đạt
3,184.0,Đạt
4,61.8,Đạt
5,13331.9,Đạt
6,2811.5,Đạt
7,3207.8,Đạt
8,63.9,Đạt
1,216.4,Đạt
2,1622.0,Đạt
3,65.3,Đạt
4,108.2,Đạt
5,281.9,Đạt
6,192.6,Đạt
7,1984.0,Đạt
8,45.5,Đạt
9,108.0,Đạt
10,101.3,Đạt
11,75.5,Đạt
12,154.4,Đạt
13,116.5,Đạt
14,56.3,Đạt
15,50.4,Đạt
16,27.9,Đạt
17,52.0,Đạt
18,211.6,Đạt
19,790.2,Đạt
20,299.1,Đạt
21,86.1,Đạt
22,111.7,Đạt
23,21.7,Đạt
24,1605.1,Đạt
25,122.1,Đạt
26,34.3,Đạt
27,110.9,Đạt
28,1485.8,Đạt
29,1117.9,Đạt
30,113.9,Đạt
31,13.6,Đạt
