Thoi_gian_nhan_PC,Ban,Seq_ESP32,Millis_ESP32,Latency_Auto_ms
10:48:35.991,1,32,2111702,100
10:48:51.549,1,33,2127248,111.7
10:48:54.200,1,34,2129904,106.7
10:48:57.134,1,35,2132845,99.2
10:49:00.572,1,36,2136272,110.8
10:49:04.904,1,37,2140613,102.2
10:49:11.283,1,38,2146969,124.4
10:49:14.304,1,39,2150000,115.2
10:49:19.283,1,40,2154991,103.1
10:49:21.925,1,41,2157627,109.0
10:49:25.021,1,42,2160718,113.7
10:49:27.757,1,43,2163454,113.4
10:49:31.444,1,44,2167150,104.8
10:49:34.341,1,45,2170051,101.0
10:49:37.077,1,46,2172782,105.9
10:49:39.954,1,47,2175658,106.3
10:49:42.579,1,48,2178284,106.1
10:49:45.149,1,49,2180850,110.2
10:49:47.937,1,50,2183636,111.7
10:49:50.618,1,51,2186327,101.4
10:49:53.876,1,52,2189583,103.9
10:49:56.488,1,53,2192189,110.0
10:49:59.124,1,54,2194830,105.2
10:50:02.187,1,55,2197881,116.5
10:50:04.704,1,56,2200401,113.7
10:50:07.392,1,57,2203102,101.0
10:50:10.194,1,58,2205888,116.8
10:50:13.003,1,59,2208704,109.8
10:50:15.844,1,60,2211545,110.1
10:50:18.796,1,61,2214491,115.7
10:51:14.263,1,62,2269971,103.0
10:51:17.017,1,63,2272712,116.0
10:51:19.754,1,64,2275448,117.1
10:51:22.402,1,65,2278094,118.8
10:51:25.076,1,66,2280774,112.9
10:51:27.731,1,67,2283430,111.4
10:51:30.410,1,68,2286106,114.3
10:51:32.967,1,69,2288667,110.8
10:51:35.491,1,70,2291193,108.4
10:51:38.072,1,71,2293779,103.9
10:51:40.586,1,72,2296294,102.4
10:51:43.275,1,73,2298980,105.4
10:51:45.915,1,74,2301621,105.2
10:51:48.461,1,75,2304152,119.3
10:51:51.676,1,76,2307383,103.9
10:51:54.193,1,77,2309894,110.0
10:51:56.887,1,78,2312586,111.6
10:51:59.431,1,79,2315127,114.5
10:52:02.004,1,80,2317708,107.2
10:52:04.717,1,81,2320424,103.5
10:52:07.772,1,82,2323480,102.7
10:52:10.419,1,83,2326115,114.8
10:52:13.138,1,84,2328836,112.8
10:52:15.748,1,85,2331452,106.9
10:52:18.417,1,86,2334123,105.0
10:52:21.170,1,87,2336874,106.4
10:52:23.747,1,88,2339450,107.7
10:52:26.302,1,89,2342001,112.1
10:52:28.882,1,90,2344586,106.6
10:52:31.914,1,91,2347608,117.1
10:52:52.109,1,92,2367805,114.8
10:52:54.670,1,93,2370366,115.1
10:52:57.301,1,94,2372992,120.0
10:52:59.914,1,95,2375612,113.0
10:53:02.540,1,96,2378248,102.4
10:53:05.218,1,97,2380919,110.2
10:53:07.721,1,98,2383425,106.3
10:53:10.251,1,99,2385955,106.6
10:53:12.786,1,100,2388491,105.8
10:53:15.472,1,101,2391177,106.0
10:53:19.514,1,102,2395218,106.4
10:53:22.313,1,103,2398009,114.9
10:53:25.043,1,104,2400730,123.4
10:53:27.865,1,105,2403566,110.1
10:53:30.527,1,106,2406226,111.8
10:53:34.305,1,107,2410001,114.5
10:53:37.478,1,108,2413172,117.1
10:53:40.010,1,109,2415702,118.4
10:53:42.618,1,110,2418318,110.9
10:53:45.270,1,111,2420973,107.8
10:53:47.943,1,112,2423643,111.1
10:53:50.631,1,113,2426339,102.7
10:53:53.389,1,114,2429093,107.1
10:53:56.026,1,115,2431729,107.3
10:53:58.595,1,116,2434295,110.3
10:54:01.227,1,117,2436931,106.4
10:54:03.975,1,118,2439672,113.7
10:54:06.555,1,119,2442237,128.9
10:54:10.336,1,120,2446033,114.1
10:54:13.187,1,121,2448884,113.4
