lan_thu,customer_x,customer_y,robot_x,robot_y,robot_yaw_deg,khoang_cach_m
1,10.382,18.095,9.661,17.354,42.9,1.034
1,8.929,18.060,9.525,17.371,132.8,0.911
2,9.218,18.000,9.808,17.374,135.3,0.860
1,9.244,18.076,9.861,17.378,127.8,0.932
1,9.265,18.002,9.896,17.255,133.7,0.977
1,9.284,17.943,9.933,17.199,132.3,0.988
2,9.273,17.925,7.077,20.003,17.9,3.023
1,9.181,17.945,9.940,17.067,133.0,1.161
2,9.369,18.126,8.663,17.145,128.3,1.209
1,9.296,18.002,10.006,17.250,131.7,1.035
1,9.232,18.025,9.994,17.104,133.3,1.195
2,10.874,18.234,9.716,17.139,47.3,1.594
3,10.450,17.963,9.587,17.121,52.2,1.205
4,10.375,18.126,9.455,17.200,29.5,1.305
1,9.379,17.988,10.187,17.046,118.7,1.241
2,9.305,17.918,9.786,17.043,33.4,0.999
1,9.287,17.970,9.751,17.344,132.6,0.779
2,9.223,17.889,9.731,17.337,132.5,0.749
4,9.243,18.003,10.145,16.928,44.0,1.403
5,9.746,17.450,10.230,16.989,131.8,0.668
6,9.526,17.320,9.966,16.715,135.6,0.748
7,10.518,18.061,9.496,17.044,46.8,1.441
1,9.338,17.997,10.109,17.106,75.4,1.178
1,9.269,18.026,10.098,17.106,133.1,1.239
2,9.270,18.054,6.433,15.146,-41.2,4.063
1,9.158,17.943,10.005,16.954,132.4,1.302
2,9.190,17.942,9.953,17.069,91.5,1.159
1,9.115,18.012,8.579,17.468,42.5,0.764
2,9.060,18.039,8.457,17.378,44.6,0.895
3,9.081,18.027,7.084,17.934,-2.2,1.999
1,10.370,17.956,10.407,17.081,89.0,0.875
1,9.198,17.956,9.794,17.309,-148.0,0.880
1,9.214,18.002,10.092,16.978,118.3,1.348
2,9.185,18.024,10.017,17.043,68.8,1.286
3,6.637,19.613,6.917,19.025,34.8,0.651
1,9.214,17.916,9.839,17.219,127.1,0.936
2,9.263,17.977,10.088,16.980,52.1,1.294
3,10.208,18.064,9.463,17.285,45.0,1.078
4,10.161,17.964,9.293,16.788,78.5,1.462
1,9.344,17.936,10.032,17.112,120.5,1.074
2,10.099,17.998,10.900,16.959,105.0,1.312
1,9.271,17.778,9.823,17.127,133.1,0.853
2,9.346,17.829,10.098,16.993,132.5,1.125
3,9.423,17.845,10.003,17.053,49.4,0.982
4,9.262,17.775,9.166,16.867,-0.4,0.913
5,6.429,18.975,6.855,19.012,1.4,0.428
