lan_thu,kb,thoi_gian_s,coca,lavie,check_empty
1,Coca_0_Lavie_1,21.628,0,1,False
1,Coca_1_Lavie_0,2.544,1,0,False
2,Coca_0_Lavie_1,4.460,1,1,False
3,Coca_1_Lavie_1,5.721,1,1,False
4,Coca_1_Lavie_1,2.049,1,1,False
5,Coca_2_Lavie_2,2.286,2,2,False
6,Coca_2_Lavie_2,2.052,2,2,False
7,Coca_1_Lavie_0,2.069,1,0,False
8,Coca_0_Lavie_1,2.034,0,1,False
9,Coca_2_Lavie_3,2.060,2,3,False
10,Coca_2_Lavie_3,2.041,2,3,False
11,Coca_2_Lavie_3,2.052,2,3,False
12,Coca_2_Lavie_3,54.684,3,3,False
13,Coca_1_Lavie_2,2.049,1,2,False
1,Coca_1_Lavie_1,2.926,1,1,False
2,Coca_1_Lavie_2,2.049,1,2,False
